C1RL,HAVCR2,
SYNE1,FBXO28,
PBLD,TSPAN5,
SULT1A1,ZNF286B,
LIFR,ZNF141,
PXMP2,SNAP23,
HHIP,MAML1,
MASP1,TEAD4,
CPEB3,SLC33A1,
PPFIBP1,LINC00662,
ADH4,POC1B-GALNT4,
PITPNM3,FAM98A,
CFI,SEC22A,
ACAA1,TOR4A,
CYP4F12,RPL22,
GPT,SNX11,
EPHB1,PGRMC1,
MIR29C,KLHL42,
LOC100507472,TMEM55A,
EFHD1,MTMR10,
AR,PHTF1,
DMGDH,YIPF6,
TEK,ZNF624,
CPED1,ANKRD13C,
PLGLB2,LEFTY1,
CYP39A1,FAM86DP,
SYT7,C11orf68,
FAM149A,LEPROTL1,
RNF165,PLEKHA8P1,
MST1L,PGF,
TDO2,ADPRH,
PLCXD3,BTBD10,
LOC102724449,SUSD3,
ALDH1B1,RIC8B,
MRO,ZNF383,
P3H2,AMMECR1L,
ALDH6A1,ATP5G3,
PKHD1,ZNF782,
FCAMR,OSBPL11,
PPP1R3B,HEATR5A,
SLC16A2,ZSCAN2,
SLC28A1,ATL1,
RAMP3,ZNF544,
ABHD14A-ACY1,ZNF721,
IGF1,CAAP1,
TMEM56,FAM105A,
NPHP3-ACAD11,VCPIP1,
ABCG5,TOMM5,
MOGAT1,LMBRD2,
ACADS,C11orf31,
SEC14L2,ZMYM5,
ACADSB,ING1,
CYP2J2,APOL6,
ALDH2,DCP1B,
FANCC,NKX2-2,
PGA4,ZNF41,
LEPR,TRUB1,
GRHPR,PRKCH,
PLIN1,ARSD,
PDK4,INPP5B,
SLC41A2,LINC01420,
F11,BRD8,
SPRYD4,SPG20,
SULT1A2,GTF3C3,
METTL7B,BUD13,
TUBE1,UBR4,
F8,HIST3H2A,
SARDH,RPAIN,
GNE,IER2,
FAM150B,RALGPS2,
HAND2-AS1,MAP3K2,
FST,TLE1,
GPR146,USP30,
CYP2C9,BRD4,
THOP1,IFT57,
ALDOB,NCSTN,
TFR2,BNC2,
MST1,CDKN1C,
INSIG1,NUCKS1,
SERPINA1,JMJD6,
ABCC9,TTC7A,
SPIDR,SDHAP2,
ID2B,USP36,
PTPRD,DNAJC3,
XDH,KLHL24,
PIK3C2G,NDUFV2-AS1,
PCOLCE,PPP2R5C,
SLCO1B3,IREB2,
ANGPTL1,VPS13C,
MPDZ,UHRF1BP1L,
LHX2,DNAJC7,
ETS2,SAMD4B,
PDLIM5,ZNF281,
ECHDC2,PAX5,
TKFC,SAMSN1,
LOC102724562,RBBP6,
LY6E,MYLIP,
DNAJC25-GNG10,CDC42SE1,
LOC100129447,AAED1,
MMAA,MAPK1IP1L,
ADRA1A,MYZAP,
DNALI1,KCNA4,
PDE11A,MTMR12,
STEAP3,TRIM44,
MAN1C1,LOC401261,
GCGR,TAPT1,
KCNJ16,HSPA14,
IGFBP4,TMED4,
SLC25A25,KDM7A,
GFRA1,VPS35,
ADCY1,GDAP2,
PON1,LOC100996919,
GDA,LILRA5,
RBMS3,SERTAD2,
CA2,MGAT4A,
GOT2,PKIB,
BDH2,PABPC1,
SEC14L4,PRKD2,
